sample,ploidy,cellularity,distance
CC-CHM-1341,3.33,0.9,0.166
CC-CHM-1347,3.22,0.78,0.152
CC-CHM-1355,2,0.83,0.08
CC-CHM-1361,2,0.72,0.11
CC-HAM-0369,1.94,1,0.119
CC-HAM-0374,2,1,0.069
CC-HAM-0379,4.3,0.31,0.171
CC-HAM-0383,1.99,1,0.109
CC-HAM-0385,1.84,0.91,0.121
CC-HAM-0387,2,0.85,0.157
CC-HAM-0392,4.88,0.61,0.151
CC-HAM-0394,5.02,0.71,0.06
CC-HAM-0396,2.98,0.95,0.03
CC-HAM-0402,2.98,0.77,0.088
CC-HAM-0406,2.77,0.87,0.098
CC-HAM-0407,4.54,0.73,0.173
CC-HAM-0422,2,1,0.047
CC-HAM-0423,2.06,0.85,0.146
CC-HAM-0424,1.93,0.71,0.091
CC-HAM-0427,2.72,0.82,0.178
CC-HAM-0429,3.51,0.95,0.137
CC-HAM-0432,4.39,0.4,0.169
CC-HAM-0435,4.04,0.77,0.163
CC-HAM-0438,3.8,0.72,0.126
CC-HAM-0442,1.99,1,0.133
CC-HAM-0446,3.51,0.83,0.102
CC-HAM-0448,3.74,0.73,0.141
CC-HAM-0449,3.05,0.76,0.128
CC-HAM-0450,2.9,0.9,0.146
CC-HAM-0453,1.99,1,0.063
CC-HAM-0454,1.99,1,0.081
CC-HAM-0458,1.97,0.89,0.073
CC-HAM-0459,3.08,0.22,0.193
CC-HAM-0461,1.98,0.9,0.037
CC-JGH-0469,2,1,0.087
CC-JGH-0487,2,1,0.013
CC-JGH-0492,3,0.91,0.085
CC-JGH-0499,4.39,0.53,0.138
CC-JGH-0500,1.99,0.82,0.077
CC-JGH-0506,1.99,1,0.046
CC-JGH-0508,2.97,0.89,0.132
CC-JGH-0510,2,1,0.142
CC-JGH-0511,2.95,0.82,0.073
CC-JGH-0515,2.05,1,0.084
CC-JGH-0523,2,1,0.086
CC-JGH-0525,2.97,0.73,0.055
CC-KAM-1089,2.05,0.69,0.138
CC-LAV-0570,3.74,0.78,0.148
CC-LAV-0577,3,0.9,0.092
CC-LAV-0578,4.48,0.86,0.107
CC-LAV-0586,1.99,0.75,0.042
CC-LAV-0587,1.99,0.97,0.098
CC-LAV-0590,2.91,1,0.137
CC-LAV-0598,4.07,1,0.177
CC-LAV-0600,1.97,1,0.142
CC-LAV-0615,1.98,1,0.2
CC-LAV-0616,1.96,0.87,0.174
CC-LAV-0630,1.98,1,0.118
CC-LAV-0647,5.07,0.84,0.152
CC-LAV-0660,4.29,0.63,0.183
CC-LAV-0664,1.35,0.69,0.175
CC-LAV-0671,1.96,0.71,0.14
CC-LAV-0681,1.85,0.79,0.176
CC-LAV-0687,5.04,0.91,0.182
CC-LAV-0698,1.99,1,0.05
CC-LAV-0699,2,1,0.127
CC-LAV-0719,2,1,0.066
CC-LAV-0725,4.84,0.52,0.136
CC-LAV-0726,3.92,0.81,0.12
CC-LGH-0979,1.98,0.82,0.116
CC-LGH-0989,2.65,0.8,0.124
CC-LGH-0992,4.27,0.47,0.124
CC-NSH-0235,3.02,0.69,0.181
CC-NSH-0236,2.97,0.8,0.105
CC-NSH-0243,1.94,0.89,0.113
CC-NSH-0253,3.02,0.76,0.112
CC-NSH-0254,2,0.82,0.079
CC-NSH-0269,4.36,0.76,0.176
CC-NSH-0279,3.64,0.79,0.152
CC-NSH-0285,1.9,0.97,0.166
CC-NSH-0296,4.58,0.5,0.124
CC-NSH-0299,1.99,0.91,0.026
CC-NSH-0309,5.13,0.89,0.182
CC-NSH-0338,2,1,0.082
CC-NSH-0356,2,0.89,0.046
CC-PEN-1045,3.01,0.73,0.062
CC-RCH-1120,2.53,0.86,0.115
CC-RCH-1122,1.98,0.93,0.121
CC-RCH-1130,2.93,0.89,0.128
CC-RJH-1313,3.01,0.73,0.163
CC-RJH0119,1.96,1,0.152
CC-RJH0132,3,0.83,0.104
CC-RJH0175,4.12,0.69,0.169
CC-RJH0178,4,0.97,0.065
CC-RJH0182,1.99,1,0.136
CC-RJH0185,1.92,0.9,0.079
CC-RJH0201,4.92,0.75,0.125
CC-SMH-0751,1.98,0.9,0.156
CC-SPH-1066,2.11,0.86,0.159
CC-SSK0053,2.97,1,0.128
CC-SSK0060,4,0.83,0.025
CC-SSK0062,2.5,0.8,0.151
CC-SSK0088,2,1,0.124
CC-SSK0089,2.88,0.9,0.09
CC-SSK0097,3.99,0.77,0.104
CC-SSK0099,1.99,0.89,0.09
CC-SSK0103,3.9,0.76,0.173
CC-SSK0109,1.99,1,0.061
CC-SUN-0808,4.11,0.69,0.083
CC-SUN-0819,1.99,1,0.142
CC-SUN-0820,1.9,0.51,0.174
CC-SUN-0822,2.71,0.3,0.106
CC-SUN-0825,5.02,0.6,0.048
CC-SUN-0827,3.41,0.8,0.171
CC-SUN-0830,1.79,0.7,0.15
