sample,classification,gene
CC.CHM.1341,Gain,HER2
CC.CHM.1347,Amplification,HER2
CC.CHM.1355,No Data,HER2
CC.CHM.1361,Gain,HER2
CC.HAM.0369,Normal,HER2
CC.HAM.0374,Normal,HER2
CC.HAM.0379,Amplification,HER2
CC.HAM.0383,Gain,HER2
CC.HAM.0385,Loss,HER2
CC.HAM.0387,Loss,HER2
CC.HAM.0392,Amplification,HER2
CC.HAM.0394,Gain,HER2
CC.HAM.0396,Normal,HER2
CC.HAM.0402,High Amplification,HER2
CC.HAM.0406,Gain,HER2
CC.HAM.0407,Gain,HER2
CC.HAM.0422,Normal,HER2
CC.HAM.0423,Normal,HER2
CC.HAM.0424,Loss,HER2
CC.HAM.0427,Gain,HER2
CC.HAM.0429,Normal,HER2
CC.HAM.0432,Amplification,HER2
CC.HAM.0435,High Amplification,HER2
CC.HAM.0438,Gain,HER2
CC.HAM.0442,Normal,HER2
CC.HAM.0446,Gain,HER2
CC.HAM.0448,Gain,HER2
CC.HAM.0449,Gain,HER2
CC.HAM.0450,Amplification,HER2
CC.HAM.0453,Normal,HER2
CC.HAM.0454,Normal,HER2
CC.HAM.0458,Normal,HER2
CC.HAM.0459,Loss,HER2
CC.HAM.0461,Normal,HER2
CC.JGH.0469,Normal,HER2
CC.JGH.0487,Normal,HER2
CC.JGH.0492,Normal,HER2
CC.JGH.0499,Amplification,HER2
CC.JGH.0500,Loss,HER2
CC.JGH.0506,Normal,HER2
CC.JGH.0508,Normal,HER2
CC.JGH.0510,No Data,HER2
CC.JGH.0511,Gain,HER2
CC.JGH.0515,Normal,HER2
CC.JGH.0523,Normal,HER2
CC.JGH.0525,Normal,HER2
CC.KAM.1089,Loss,HER2
CC.LAV.0570,Normal,HER2
CC.LAV.0577,Normal,HER2
CC.LAV.0578,High Amplification,HER2
CC.LAV.0586,Loss,HER2
CC.LAV.0587,Normal,HER2
CC.LAV.0590,Normal,HER2
CC.LAV.0598,Amplification,HER2
CC.LAV.0600,No Data,HER2
CC.LAV.0615,Normal,HER2
CC.LAV.0616,Normal,HER2
CC.LAV.0630,High Amplification,HER2
CC.LAV.0647,Gain,HER2
CC.LAV.0660,Gain,HER2
CC.LAV.0664,Loss,HER2
CC.LAV.0671,Loss,HER2
CC.LAV.0681,Loss,HER2
CC.LAV.0687,Gain,HER2
CC.LAV.0698,Loss,HER2
CC.LAV.0699,Normal,HER2
CC.LAV.0719,Normal,HER2
CC.LAV.0725,Amplification,HER2
CC.LAV.0726,Normal,HER2
CC.LGH.0979,Normal,HER2
CC.LGH.0989,Loss,HER2
CC.LGH.0992,Amplification,HER2
CC.NSH.0235,Gain,HER2
CC.NSH.0236,Amplification,HER2
CC.NSH.0243,Normal,HER2
CC.NSH.0253,Amplification,HER2
CC.NSH.0254,Amplification,HER2
CC.NSH.0269,Amplification,HER2
CC.NSH.0279,Normal,HER2
CC.NSH.0285,Loss,HER2
CC.NSH.0296,Amplification,HER2
CC.NSH.0299,Gain,HER2
CC.NSH.0309,Amplification,HER2
CC.NSH.0338,Normal,HER2
CC.NSH.0356,Normal,HER2
CC.PEN.1045,High Amplification,HER2
CC.RCH.1120,Normal,HER2
CC.RCH.1122,Loss,HER2
CC.RCH.1130,Loss,HER2
CC.RJH.1313,Gain,HER2
CC.RJH0119,No Data,HER2
CC.RJH0132,High Amplification,HER2
