sample,classification,gene
CC.CHM.1341,Absent,PIK3CA
CC.CHM.1347,Present,PIK3CA
CC.CHM.1355,Absent,PIK3CA
CC.CHM.1361,Absent,PIK3CA
CC.HAM.0369,Present,PIK3CA
CC.HAM.0374,Absent,PIK3CA
CC.HAM.0379,Absent,PIK3CA
CC.HAM.0383,Present,PIK3CA
CC.HAM.0385,Absent,PIK3CA
CC.HAM.0387,Present,PIK3CA
CC.HAM.0392,Absent,PIK3CA
CC.HAM.0394,Present,PIK3CA
CC.HAM.0396,Absent,PIK3CA
CC.HAM.0402,Present,PIK3CA
CC.HAM.0406,Absent,PIK3CA
CC.HAM.0407,Absent,PIK3CA
CC.HAM.0422,Absent,PIK3CA
CC.HAM.0423,Absent,PIK3CA
CC.HAM.0424,Present,PIK3CA
CC.HAM.0427,Present,PIK3CA
CC.HAM.0429,Absent,PIK3CA
CC.HAM.0432,Present,PIK3CA
CC.HAM.0435,Present,PIK3CA
CC.HAM.0438,Absent,PIK3CA
CC.HAM.0442,Absent,PIK3CA
CC.HAM.0446,Absent,PIK3CA
CC.HAM.0448,Absent,PIK3CA
CC.HAM.0449,Absent,PIK3CA
CC.HAM.0450,Absent,PIK3CA
CC.HAM.0453,Present,PIK3CA
CC.HAM.0454,Absent,PIK3CA
CC.HAM.0458,Absent,PIK3CA
CC.HAM.0459,Absent,PIK3CA
CC.HAM.0461,Absent,PIK3CA
CC.JGH.0469,Present,PIK3CA
CC.JGH.0487,Absent,PIK3CA
CC.JGH.0492,Absent,PIK3CA
CC.JGH.0499,Absent,PIK3CA
CC.JGH.0500,Absent,PIK3CA
CC.JGH.0506,Absent,PIK3CA
CC.JGH.0508,Present,PIK3CA
CC.JGH.0510,Absent,PIK3CA
CC.JGH.0511,Absent,PIK3CA
CC.JGH.0515,Present,PIK3CA
CC.JGH.0523,Absent,PIK3CA
CC.JGH.0525,Absent,PIK3CA
CC.KAM.1089,Absent,PIK3CA
CC.LAV.0570,Present,PIK3CA
CC.LAV.0577,Absent,PIK3CA
CC.LAV.0578,Absent,PIK3CA
CC.LAV.0586,Absent,PIK3CA
CC.LAV.0587,Absent,PIK3CA
CC.LAV.0590,Present,PIK3CA
CC.LAV.0598,Absent,PIK3CA
CC.LAV.0600,Absent,PIK3CA
CC.LAV.0615,Present,PIK3CA
CC.LAV.0616,Present,PIK3CA
CC.LAV.0630,Present,PIK3CA
CC.LAV.0647,No Data,PIK3CA
CC.LAV.0660,Absent,PIK3CA
CC.LAV.0664,Present,PIK3CA
CC.LAV.0671,Present,PIK3CA
CC.LAV.0681,Absent,PIK3CA
CC.LAV.0687,Absent,PIK3CA
CC.LAV.0698,Absent,PIK3CA
CC.LAV.0699,Absent,PIK3CA
CC.LAV.0719,Absent,PIK3CA
CC.LAV.0725,Absent,PIK3CA
CC.LAV.0726,Present,PIK3CA
CC.LGH.0979,Absent,PIK3CA
CC.LGH.0989,Present,PIK3CA
CC.LGH.0992,Absent,PIK3CA
CC.NSH.0235,Absent,PIK3CA
CC.NSH.0236,Absent,PIK3CA
CC.NSH.0243,Present,PIK3CA
CC.NSH.0253,Absent,PIK3CA
CC.NSH.0254,Present,PIK3CA
CC.NSH.0269,Present,PIK3CA
CC.NSH.0279,Absent,PIK3CA
CC.NSH.0285,Absent,PIK3CA
CC.NSH.0296,Absent,PIK3CA
CC.NSH.0299,Absent,PIK3CA
CC.NSH.0309,Absent,PIK3CA
CC.NSH.0338,Absent,PIK3CA
CC.NSH.0356,Absent,PIK3CA
CC.PEN.1045,Absent,PIK3CA
CC.RCH.1120,Present,PIK3CA
CC.RCH.1122,Present,PIK3CA
CC.RCH.1130,Present,PIK3CA
CC.RJH.1313,Absent,PIK3CA
CC.RJH0119,Present,PIK3CA
CC.RJH0132,Absent,PIK3CA
CC.RJH0175,Absent,PIK3CA
CC.RJH0178,Present,PIK3CA
CC.RJH0182,Present,PIK3CA
CC.RJH0185,Absent,PIK3CA
CC.RJH0201,Present,PIK3CA
CC.SMH.0751,Absent,PIK3CA
CC.SPH.1066,Present,PIK3CA
CC.SSK0053,Absent,PIK3CA
CC.SSK0060,Absent,PIK3CA
CC.SSK0062,Present,PIK3CA
CC.SSK0088,Present,PIK3CA
CC.SSK0089,Absent,PIK3CA
CC.SSK0097,Absent,PIK3CA
CC.SSK0099,Absent,PIK3CA
CC.SSK0103,Absent,PIK3CA
CC.SSK0109,Absent,PIK3CA
CC.SUN.0808,Absent,PIK3CA
CC.SUN.0819,Absent,PIK3CA
CC.SUN.0820,Present,PIK3CA
CC.SUN.0822,Present,PIK3CA
CC.SUN.0825,Absent,PIK3CA
CC.SUN.0827,Absent,PIK3CA
CC.SUN.0830,Absent,PIK3CA
CC.SUN.0833,Present,PIK3CA
CC.SUN.0838,Absent,PIK3CA
CC.SUN.0840,Present,PIK3CA
CC.SUN.0843,Present,PIK3CA
CC.SUN.0845,Absent,PIK3CA
CC.SUN.0848,Absent,PIK3CA
CC.SUN.0865,Absent,PIK3CA
CC.SUN.0868,Absent,PIK3CA
CC.SUN.0869,Absent,PIK3CA
CC.SUN.0870,Absent,PIK3CA
CC.SUN.0873,Absent,PIK3CA
CC.SUN.0876,Absent,PIK3CA
CC.SUN.0877,Absent,PIK3CA
CC.SUN.0885,Absent,PIK3CA
CC.SUN.0888,Absent,PIK3CA
CC.SUN.0903,Present,PIK3CA
CC.SUN.0907,Present,PIK3CA
CC.SUN.0908,Present,PIK3CA
CC.SUN.0909,Absent,PIK3CA
CC.SUN.0924,Present,PIK3CA
CC.SUN.0931,Present,PIK3CA
CC.SUN.0932,Present,PIK3CA
CC.SUN.0942,Present,PIK3CA
CC.SUN.0944,Absent,PIK3CA
CC.SUN.0946,Absent,PIK3CA
CC.SUN.0947,Absent,PIK3CA
CC.SUN.0951,Absent,PIK3CA
CC.SUN.0953,Present,PIK3CA
CC.SUN.0954,Present,PIK3CA
CC.SUN.0960,Absent,PIK3CA
CC.SUN.0961,Absent,PIK3CA
CC.SUN.0967,Absent,PIK3CA
CC.SUN.0972,Absent,PIK3CA
CC.SUN.0974,Absent,PIK3CA
CC.SUN.0975,Absent,PIK3CA
CC.VER.1146,Absent,PIK3CA
CC.VGH.0036.T,Absent,PIK3CA
CC.VGH.0041.T,Absent,PIK3CA
CC.VGH.1168,Present,PIK3CA
CC.VGH.1209.T,Absent,PIK3CA
CC.VGH.1210.T,Present,PIK3CA
CC.VGH.1215.T,Absent,PIK3CA
CC.VGH.1217,Absent,PIK3CA
CC.VGH.1218.T,Present,PIK3CA
CC.VGH.1225,Absent,PIK3CA
CC.VGH.1227.T,Absent,PIK3CA
CC.VGH.1230,Present,PIK3CA
CC.VGH.1253,Present,PIK3CA
CC.VGH.1258,Absent,PIK3CA
CC.VGH.1295,Present,PIK3CA
CC.WPG.1392,Absent,PIK3CA
CC.WPG.1393,Absent,PIK3CA
CC.WPG.1405,Present,PIK3CA
CC.WPG.1412,Absent,PIK3CA
CC.WPG.1418,Absent,PIK3CA
VOA1081A,Present,PIK3CA
VOA1082B,Absent,PIK3CA
VS06.13266.C8,Absent,PIK3CA
VS07.16094.D14,Absent,PIK3CA
VS09.13515.A7,Absent,PIK3CA
VS09.16339.B8,Present,PIK3CA
VS13.19263,Absent,PIK3CA
YW.EC002,Absent,PIK3CA
YW.EC022,Absent,PIK3CA
YW.EC025,Absent,PIK3CA
YW.EC052,Absent,PIK3CA
CC.CHM.1353,Absent,PIK3CA
CC.HAM.0405,Absent,PIK3CA
CC.LAV.0646,Absent,PIK3CA
CC.SUN.0859,No Data,PIK3CA
CC.SUN.0918,No Data,PIK3CA
YW.EC003,Absent,PIK3CA
CC.CHM.1341,Absent,PPP2R1A
